CODMUNI;MINMDT;MAXMDT;RANGEMDT;MEANMDT;STDMDT;MINPENDI;MAXPENDI;RANGEPENDI;MEANPENDI;STDPENDI
47195;702;870;168;776.236941;54.774114;0;25.344484;25.344484;4.558196;4.521024
47196;741;774;33;756.728039;6.90238;0;4.268515;4.268515;1.136464;0.654378
47220;700;736;36;713.759766;5.887495;0;4.419557;4.419557;0.884313;0.542546
47197;717;846;129;763.743994;41.307044;0;18.448963;18.448963;1.700898;2.048374
47198;760;832;72;796.605058;18.107248;0;5.628705;5.628705;1.507508;0.820101
47199;762;820;58;787.158402;10.800576;0;4.892987;4.892987;1.263995;0.657894
47221;729;872;143;805.919228;53.733497;0;22.984028;22.984028;4.365772;4.637776
47200;764;892;128;841.607375;41.569353;0;16.33321;16.33321;3.343938;3.101005
47203;752;797;45;770.210007;10.026397;0;3.870568;3.870568;1.004412;0.609646
47204;640;717;77;672.785949;18.965466;0;8.401162;8.401162;2.310124;1.641011
47205;710;789;79;741.125721;14.55765;0;5.257757;5.257757;1.130812;0.669939
47206;752;888;136;841.227439;45.097257;0;20.031965;20.031965;3.543142;3.57741
47207;708;840;132;749.862031;50.568175;0;16.562426;16.562426;1.191002;2.053506
47208;730;777;47;752.69739;12.082726;0;6.961462;6.961462;1.603052;0.992385
47222;728;809;81;749.765179;18.07154;0;10.341193;10.341193;1.404687;1.268801
47210;685;737;52;701.984846;8.917906;0;4.479856;4.479856;0.922735;0.626317
47211;748;803;55;774.775471;10.488102;0;4.965434;4.965434;1.481712;0.814732
47229;709;787;78;739.593105;20.669629;0;5.956259;5.956259;1.407118;0.843359
47212;763;863;100;846.204313;16.239;0;15.941356;15.941356;0.921678;1.169372
47213;711;804;93;735.084867;14.270125;0;13.545569;13.545569;1.662086;1.518944
47214;758;836;78;791.561054;18.286685;0;5.026472;5.026472;1.152372;0.678072
47215;719;805;86;751.414688;20.453305;0;5.632657;5.632657;1.672718;0.975539
47216;732;844;112;805.09884;36.949824;0;17.123869;17.123869;3.56915;3.594121
49038;720;839;119;761.273184;26.009188;0;10.436692;10.436692;2.451834;1.488829
47217;792;852;60;842.101224;7.202354;0;14.63645;14.63645;1.135419;1.480531
47218;671;757;86;701.754344;19.903807;0;6.316779;6.316779;1.387582;1.018835
47219;754;836;82;796.457759;18.024853;0.122584;5.89501;5.772425;2.01762;1.0845
47223;704;834;130;747.144124;44.495809;0;14.215699;14.215699;1.331771;1.618906
47224;718;866;148;782.049289;49.566281;0;18.392611;18.392611;4.471705;3.903338
47225;716;838;122;777.446161;43.146443;0;17.162298;17.162298;3.149776;2.952095
47230;758;847;89;830.440538;20.807363;0;19.478283;19.478283;2.40408;3.176317
47226;736;877;141;826.566546;43.837525;0;23.208817;23.208817;4.102211;4.376882
47227;716;830;114;769.124453;40.109226;0;15.231315;15.231315;1.993843;2.189489
47228;699;801;102;741.818705;18.863406;0;10.786949;10.786949;1.668454;1.410875
47231;705;847;142;782.965389;47.72466;0;17.816467;17.816467;3.781577;3.369231
47232;732;773;41;750.340637;8.495592;0;6.68927;6.68927;1.052206;0.694566
49002;715;808;93;754.593484;18.369395;0;10.73367;10.73367;2.459804;1.457231
49003;728;951;223;830.788607;29.022767;0;22.515686;22.515686;4.168141;3.248533
49004;760;939;179;800.933533;33.450256;0;20.113962;20.113962;3.209138;3.732164
49007;593;777;184;714.750598;39.802417;0;27.123373;27.123373;5.02007;4.248592
49005;778;965;187;844.671966;25.451107;0;9.950675;9.950675;2.21469;1.170046
49006;642;783;141;700.998501;42.735737;0;14.696474;14.696474;3.167924;2.558812
49011;692;718;26;703.421875;6.192641;0;5.762794;5.762794;0.951553;0.812626
49008;759;865;106;805.778493;17.84277;0;8.853159;8.853159;1.90377;1.086946
49009;680;753;73;719.287861;10.534672;0;7.557106;7.557106;1.467939;1.038514
49010;641;715;74;671.053733;21.364085;0;6.969923;6.969923;1.353064;0.997922
49016;647;715;68;682.795558;15.745973;0;10.290985;10.290985;1.606007;1.431994
49017;882;1222;340;958.453527;50.857877;0;22.458895;22.458895;4.152214;3.224919
49039;675;726;51;706.458919;10.011058;0;7.074789;7.074789;1.395199;1.110076
49018;744;919;175;843.873236;40.623574;0;17.862253;17.862253;3.51382;2.692588
49019;694;726;32;716.078305;8.558893;0;8.009168;8.009168;0.988033;0.974604
49020;675;770;95;710.549866;21.39781;0;15.341143;15.341143;1.768139;1.536996
49021;698;771;73;717.487339;19.184289;0;13.019947;13.019947;1.562498;1.613704
49022;638;723;85;673.557944;23.268871;0;14.081189;14.081189;2.429593;2.234294
49023;719;840;121;791.902542;16.814563;0;8.941463;8.941463;1.32937;0.720713
49025;684;771;87;723.782882;20.272159;0;20.531492;20.531492;2.153208;2.182237
49026;686;790;104;731.895932;28.182959;0;19.452885;19.452885;2.459788;2.492366
49027;738;868;130;779.440426;29.669717;0;12.221935;12.221935;1.839783;1.637738
49028;710;841;131;752.518569;30.056561;0;15.924791;15.924791;2.888073;2.680762
49030;682;736;54;708.711978;10.607672;0;4.783777;4.783777;1.264063;0.728321
49031;742;919;177;800.025192;38.143553;0;11.34491;11.34491;2.719287;1.787388
49032;735;820;85;780.278376;25.144273;0;9.602563;9.602563;1.952654;1.783646
49033;718;787;69;757.9871;18.159032;0;12.685614;12.685614;1.543132;1.900282
49034;753;878;125;814.692278;18.528458;0;10.54147;10.54147;2.247439;1.407693
49035;667;775;108;694.675073;19.496761;0;7.805385;7.805385;1.542994;1.194046
49040;716;829;113;762.186097;28.843869;0;14.446982;14.446982;2.841461;2.17405
49036;667;842;175;744.744535;37.406267;0;35.954987;35.954987;5.207316;5.083158
49037;705;804;99;761.156439;23.745006;0;18.861786;18.861786;2.984967;2.220061
49047;654;701;47;686.120996;9.522797;0;8.867122;8.867122;1.614673;1.228311
49041;700;748;48;722.286923;10.582431;0;11.045886;11.045886;1.20453;1.152374
49042;660;723;63;684.253265;10.48304;0;10.457327;10.457327;1.106551;1.127788
49057;790;990;200;853.1413;37.266863;0;14.149853;14.149853;2.663186;2.152392
49043;692;836;144;737.297271;28.72746;0;8.884336;8.884336;1.413561;0.866211
49044;690;801;111;730.71336;20.84915;0;8.028336;8.028336;1.753372;1.24739
49046;689;744;55;715.174743;13.569324;0;4.649595;4.649595;1.218327;0.734195
