codMuni;CCAA;Nombre;CodProv;NombreProvincia;NombreCCAA;NHOSPI;NFARMA;NCENTEDUC;NATURGHOSP;NATPRIMARIA;DISTHOSPIT;DISTFARMA;DISTCEDUC;DISTCURGH;DISTATPRIM
5236;7;Solana de Ávila;5;Ávila;Castilla y León;0;0;0;0;6;66786.58216;3373.642792;8772.761539;9199.240325;2718.600338
5237;7;Solana de Rioalmar;5;Ávila;Castilla y León;0;0;0;0;1;28608.43597;13034.32484;12681.4805;4877.286398;2013.655855
5238;7;Solosancho;5;Ávila;Castilla y León;0;0;2;0;4;22313.6224;10371.64845;3127.110868;10540.72267;1795.744489
5239;7;Sotalbo;5;Ávila;Castilla y León;0;0;0;0;1;21468.63916;7674.551458;7256.272432;11217.60508;3162.913587
5240;7;Sotillo de la Adrada;5;Ávila;Castilla y León;0;0;2;1;1;40344.9155;9413.661777;2588.885393;3010.705066;2398.212452
5241;7;El Tiemblo;5;Ávila;Castilla y León;0;2;4;1;1;33569.21979;5282.469882;4099.365952;4352.755676;3443.2875
5242;7;Tiñosillos;5;Ávila;Castilla y León;0;0;0;0;1;10812.86739;19065.2657;9461.75355;11416.2685;2720.253824
5243;7;Tolbaños;5;Ávila;Castilla y León;0;0;0;0;2;11234.81747;11123.01097;12249.76221;11997.42478;2253.277708
5244;7;Tormellas;5;Ávila;Castilla y León;0;0;0;0;2;71650.85742;15665.07431;5739.456616;5739.456616;1009.343025
5245;7;Tornadizos de Ávila;5;Ávila;Castilla y León;0;0;2;0;1;8746.33802;7245.141953;4822.555664;8976.157227;3946.655647
5246;7;Tórtoles;5;Ávila;Castilla y León;0;0;0;0;1;49809.40737;21711.31986;12853.22232;12899.30697;2310.794617
5247;7;La Torre;5;Ávila;Castilla y León;0;0;0;0;6;23654.41178;8739.423344;9126.724501;6006.0051;1451.792604
5249;7;Umbrías;5;Ávila;Castilla y León;0;0;0;0;3;69486.40171;20433.01907;6686.353242;6686.353242;966.519391
5251;7;Vadillo de la Sierra;5;Ávila;Castilla y León;0;0;0;0;1;37109.40321;6575.373692;20332.39988;10049.16712;2768.709028
5252;7;Valdecasa;5;Ávila;Castilla y León;0;0;0;0;2;27187.09649;19794.47081;16271.6474;4533.619075;1333.079029
5253;7;Vega de Santa María;5;Ávila;Castilla y León;0;0;0;0;1;18704.32685;4425.962978;8580.743286;18057.63505;1900.642283
5254;7;Velayos;5;Ávila;Castilla y León;0;0;0;0;1;20077.85746;21877.90569;5234.211698;15551.41129;1908.591417
5256;7;Villaflor;5;Ávila;Castilla y León;0;0;0;0;1;19312.39033;7569.937719;13200.81205;5691.020804;1675.61565
5257;7;Villafranca de la Sierra;5;Ávila;Castilla y León;0;0;0;0;1;43946.9675;17523.29811;11605.33682;11409.42964;2984.126589
5258;7;Villanueva de Gómez;5;Ávila;Castilla y León;0;0;0;0;1;17722.12195;17683.31355;9713.212678;16646.94562;2208.557426
5259;7;Villanueva del Aceral;5;Ávila;Castilla y León;0;0;0;0;1;12597.28331;12277.37201;14917.3847;11520.75114;1782.388791
5260;7;Villanueva del Campillo;5;Ávila;Castilla y León;0;0;0;0;1;42811.35785;5389.703797;17840.84653;14623.95729;2668.980578
5261;7;Villar de Corneja;5;Ávila;Castilla y León;0;0;0;0;1;55976.16171;18793.8512;5529.432809;9939.33734;1210.447886
5262;7;Villarejo del Valle;5;Ávila;Castilla y León;0;0;0;0;2;43505.03548;12379.34156;6108.131031;8140.831849;2136.383214
5263;7;Villatoro;5;Ávila;Castilla y León;0;1;0;0;1;36919.27395;4558.009689;16008.77202;10414.74078;2762.58053
5264;7;Viñegra de Moraña;5;Ávila;Castilla y León;0;0;0;0;1;27724.52214;3056.204647;3279.916088;7252.990395;1205.637551
5265;7;Vita;5;Ávila;Castilla y León;0;0;0;0;1;32197.49784;9370.307716;4897.278953;10927.21939;1783.242801
5266;7;Zapardiel de la Cañada;5;Ávila;Castilla y León;0;0;0;0;1;49941.70272;6929.332706;11555.77163;15723.47542;2770.001095
5267;7;Zapardiel de la Ribera;5;Ávila;Castilla y León;0;0;0;0;2;64911.48952;7280.732483;10300.43245;14382.34951;4579.086142
5901;7;San Juan de Gredos;5;Ávila;Castilla y León;0;0;2;0;3;56915.98091;14364.97755;4477.799939;9384.644139;3660.91525
5902;7;Santa María del Cubillo;5;Ávila;Castilla y León;0;0;0;0;2;17783.53577;21569.92655;12776.79688;8052.848866;3813.490899
5903;7;Diego del Carpio;5;Ávila;Castilla y León;0;0;0;0;2;43652.76731;3166.701616;12713.47362;21459.67217;1740.792141
5904;7;Santiago del Tormes;5;Ávila;Castilla y León;0;0;0;0;4;66675.6287;11312.253;10023.38177;11346.96983;2019.066312
5905;7;Villanueva de Ávila;5;Ávila;Castilla y León;0;0;0;0;1;32868.90467;13097.27034;8846.277726;5914.255675;2038.955583
9001;7;Abajas;9;Burgos;Castilla y León;0;0;0;0;1;30168.40555;3339.524751;22812.25859;17889.05703;2097.404088
9003;7;Adrada de Haza;9;Burgos;Castilla y León;0;0;2;0;1;12493.9449;14948.05968;1388.972001;13076.00807;1326.261681
9006;7;Aguas Cándidas;9;Burgos;Castilla y León;0;0;0;0;3;42211.62998;7345.493078;21521.52882;6669.146518;983.2332
9007;7;Aguilar de Bureba;9;Burgos;Castilla y León;0;0;0;0;1;29511.78114;11244.64844;4638.17258;4607.501844;1232.263222
9009;7;Albillos;9;Burgos;Castilla y León;0;0;0;0;1;8866.475854;13013.93666;7791.047718;8961.176517;1647.664145
9010;7;Alcocero de Mola;9;Burgos;Castilla y León;0;0;0;0;1;30099.04007;3011.223954;8002.43376;9098.710697;1414.607243
9011;7;Alfoz de Bricia;9;Burgos;Castilla y León;0;0;0;0;3;54610.14563;4254.509919;10226.13213;9093.891835;2342.828083
9012;7;Alfoz de Santa Gadea;9;Burgos;Castilla y León;0;0;0;0;2;47671.86714;8966.125455;9708.327986;13088.82448;2211.244917
9013;7;Altable;9;Burgos;Castilla y León;0;0;0;0;1;10622.11973;13756.28505;11868.52349;14786.8819;1161.392384
9014;7;Los Altos;9;Burgos;Castilla y León;0;0;0;0;9;47601.56423;6527.913171;12175.64902;15558.40884;2342.675655
9016;7;Ameyugo;9;Burgos;Castilla y León;0;0;0;0;1;6027.823958;6186.416758;7624.374607;10325.99831;1367.661174
9017;7;Anguix;9;Burgos;Castilla y León;0;0;0;0;1;21711.92286;4576.547429;13070.1383;6407.943892;1581.931714
9018;7;Aranda de Duero;9;Burgos;Castilla y León;2;14;24;1;4;5272.089035;4983.138352;3318.421284;5364.262163;2596.483147
9019;7;Arandilla;9;Burgos;Castilla y León;0;0;0;0;1;23074.88053;11013.94489;10767.54064;12420.72954;2074.955172
9020;7;Arauzo de Miel;9;Burgos;Castilla y León;0;1;0;0;2;33567.50511;7114.951775;5293.174744;5512.83063;2170.485122
9021;7;Arauzo de Salce;9;Burgos;Castilla y León;0;0;0;0;1;28989.83832;11875.70372;4400.692074;5419.794739;1806.046277
9022;7;Arauzo de Torre;9;Burgos;Castilla y León;0;0;0;0;1;25362.86866;8574.099329;5885.201024;8772.759797;1694.103588
9023;7;Arcos;9;Burgos;Castilla y León;0;1;0;0;2;11245.96035;5947.178177;10434.71326;10834.42662;1966.060263
9024;7;Arenillas de Riopisuerga;9;Burgos;Castilla y León;0;0;0;0;1;42064.46768;5982.618462;10166.41466;6563.554683;2162.674872
9025;7;Arija;9;Burgos;Castilla y León;0;1;0;0;1;42916.79074;2896.536513;4859.135833;13497.91542;1223.131879
9026;7;Arlanzón;9;Burgos;Castilla y León;0;1;0;0;4;20538.31045;6137.230169;7383.570446;17267.31303;2355.359363
9027;7;Arraya de Oca;9;Burgos;Castilla y León;0;0;0;0;1;25003.55844;13219.35632;7020.331503;16146.52255;1971.558649
9029;7;Atapuerca;9;Burgos;Castilla y León;0;1;0;0;2;15172.76053;12500.50117;6284.304335;14337.64062;1533.273196
9030;7;Los Ausines;9;Burgos;Castilla y León;0;0;0;0;1;17929.97167;7666.944658;14570.4099;17205.25674;2177.480997
